"259;792657;Safer at Home;en;26/02/2021;Horror, Thriller;"
"260;842033;Ghost Mansion;ko;30/06/2021;Horror;"
"261;663;Saw IV;en;25/10/2007;Crime, Horror, Thriller;"
"262;901385;Significant Other;en;06/10/2022;Horror, Science Fiction, Thriller;"
"263;576004;Porno;en;28/06/2019;Comedy, Horror;"
"264;284303;Goodnight Mommy;de;07/10/2014;Drama, Horror, Mystery, Thriller;"
"265;480157;House of the Witch;en;07/10/2017;Horror, TV Movie;"
"266;357096;I Spit on Your Grave III: Vengeance is Mine;en;01/10/2015;Horror, Thriller;"
"267;300668;Annihilation;en;22/02/2018;Horror, Science Fiction;"
"268;340102;The New Mutants;en;26/08/2020;Action, Horror, Mystery, Science Fiction;"
"269;9793;The Hills Have Eyes 2;en;22/03/2007;Horror, Thriller;"
"270;1562;28 Weeks Later;en;26/04/2007;Horror, Science Fiction, Thriller;"
"271;300669;Don't Breathe;en;08/06/2016;Horror, Thriller;"
"272;19912;The Final Destination;en;26/08/2009;Horror, Mystery;"
"273;263472;Knock Knock;en;26/06/2015;Drama, Horror, Thriller;"
"274;676840;El amarre;es;21/10/2021;Horror;"
"275;760883;Blood Red Sky;de;23/07/2021;Action, Horror, Thriller;"
"276;8643;The Exorcism of Emily Rose;en;09/09/2005;Crime, Drama, Horror, Thriller;"
"277;512025;There's Someone Inside Your House;en;24/09/2021;Horror, Mystery, Thriller;"
"278;643586;Willy's Wonderland;en;12/02/2021;Action, Comedy, Horror;"
"279;800497;Werewolves Within;en;25/06/2021;Comedy, Horror;"
"280;10987;Halloween: The Curse of Michael Myers;en;29/09/1995;Horror, Thriller;"
"281;645856;The Seventh Day;en;26/03/2021;Horror;"
"282;9378;Thir13en Ghosts;en;26/10/2001;Horror, Thriller;"
"283;74997;The Human Centipede 2 (Full Sequence);en;06/10/2011;Crime, Drama, Horror;"
"284;185341;[REC]⁴ Apocalypse;es;31/10/2014;Horror, Thriller;"
"285;703745;Deep Blue Sea 3;en;25/08/2020;Action, Horror, Science Fiction;"
"286;698320;The Mad Hatter;en;29/01/2021;Horror, Thriller;"
"287;578;Jaws;en;20/06/1975;Adventure, Horror, Thriller;"
"288;622420;The Jack in the Box;en;09/11/2019;Horror;"
"289;4233;Scream 2;en;12/12/1997;Horror, Mystery;"
"290;395;AVP: Alien vs. Predator;en;12/08/2004;Action, Adventure, Horror, Science Fiction;"
"291;614696;#Alive;ko;24/06/2020;Action, Horror, Thriller;"
"292;1690;Hostel;en;17/09/2005;Horror;"
"293;623491;The Babysitter: Killer Queen;en;10/09/2020;Comedy, Horror;"
"294;2668;Sleepy Hollow;en;19/11/1999;Drama, Fantasy, Horror, Mystery, Thriller;"
"295;43593;Piranha 3D;en;20/08/2010;Comedy, Horror;"
"296;7131;Van Helsing;en;05/05/2004;Action, Adventure, Horror;"
"297;23988;Stan Helsing;en;27/10/2009;Comedy, Horror;"
"298;59429;Paranormal Activity: Tokyo Night;ja;20/11/2010;Horror, Thriller;"
"299;270303;It Follows;en;24/09/2014;Horror, Mystery;"
"300;119278;Smiley;en;12/10/2012;Horror;"
"301;347548;Containment;en;09/07/2015;Horror, Science Fiction, Thriller;"
"302;11281;Halloween II;en;30/10/1981;Horror, Thriller;"
"303;109428;Evil Dead;en;05/04/2013;Horror;"
"304;779202;Insensate;pt;04/08/2021;Horror, Mystery, Thriller;"
"305;1691;Hostel: Part II;en;08/06/2007;Horror;"
"306;207768;I Spit on Your Grave 2;en;25/08/2013;Crime, Horror, Thriller;"
"307;511987;Crawl;en;11/07/2019;Action, Horror, Thriller;"
"308;170;28 Days Later;en;31/10/2002;Horror, Science Fiction, Thriller;"
"309;9645;Ghost Ship;en;25/10/2002;Horror, Mystery, Thriller;"
"310;573680;The Banishing;en;29/04/2021;Horror;"
"311;9730;Friday the 13th: The Final Chapter;en;13/04/1984;Horror;"
"312;280092;Insidious: Chapter 3;en;28/05/2015;Drama, Horror, Thriller;"
"313;664168;Fat Ass Zombies;en;18/02/2020;Comedy, Horror;"
"314;520023;Bodies Bodies Bodies;en;05/08/2022;Comedy, Horror, Mystery;"
"315;11442;Halloween: Resurrection;en;01/07/2002;Horror, Thriller;"
"316;431075;Polaroid;en;10/01/2019;Horror, Mystery, Thriller;"
"317;10320;The Ring Two;en;17/03/2005;Drama, Horror, Thriller;"
"318;658558;The Island of Giant Insects;ja;10/01/2020;Adventure, Animation, Drama, Horror, Mystery;"
"319;119698;The Dinosaur Project;en;09/08/2012;Action, Adventure, Horror;"
"320;669671;Night Teeth;en;20/10/2021;Action, Horror, Thriller;"
"321;648990;La Casa;es;30/01/2020;Horror;"
"322;842052;Echoes;es;27/01/2022;Horror, Thriller;"
"323;41439;Saw 3D;en;21/10/2010;Crime, Horror;"
"324;615982;Sijjin 6;tr;09/08/2019;Horror;"
"325;747;Shaun of the Dead;en;09/04/2004;Comedy, Horror;"
"326;7340;Carrie;en;03/11/1976;Horror, Thriller;"
"327;433808;The Ritual;en;11/10/2017;Horror, Mystery, Thriller;"
"328;458305;Vivarium;en;07/09/2019;Horror, Mystery, Science Fiction;"
"329;787009;Stay Out of the Attic;en;11/03/2021;Horror;"
"330;112355;What the Peeper Saw;it;14/10/1972;Drama, Horror, Thriller;"
"331;2667;The Blair Witch Project;en;14/07/1999;Horror, Mystery;"
"332;807356;Watcher;en;03/06/2022;Horror, Thriller;"
"333;5336;Salò, or the 120 Days of Sodom;it;10/01/1976;Drama, Horror;"
"334;764;The Evil Dead;en;10/09/1981;Horror;"
"335;9725;Friday the 13th Part 2;en;01/05/1981;Horror, Thriller;"
"336;19286;Leprechaun 3;en;04/07/1995;Comedy, Horror;"
"337;870096;Restart The Earth;zh;04/08/2022;Action, Horror, Science Fiction;"
"338;23437;A Nightmare on Elm Street;en;30/04/2010;Horror, Mystery, Thriller;"
"339;485811;Redcon-1;en;07/09/2018;Action, Horror, Science Fiction;"
"340;768334;A Classic Horror Story;it;14/07/2021;Horror, Mystery;"
"341;6114;Bram Stoker's Dracula;en;13/11/1992;Horror, Romance;"
"342;242512;Ouija;en;24/10/2014;Horror;"
"343;871875;Escape the Undertaker;en;05/10/2021;Family, Horror, Mystery;"
"344;1970;The Grudge;en;22/10/2004;Horror, Mystery, Thriller;"
"345;80280;[REC]³ Genesis;es;30/03/2012;Horror;"
"346;11917;Saw V;en;23/10/2008;Crime, Horror, Thriller;"
"347;377;A Nightmare on Elm Street;en;09/11/1984;Horror;"
"348;11797;Fright Night;en;;;"
"349;256274;As Above, So Below;en;14/08/2014;Horror, Thriller;"
"350;649087;Red Dot;sv;11/02/2021;Horror, Thriller;"
"351;19185;Night of the Living Dead;en;19/10/1990;Horror, Thriller;"
"352;417384;Scary Stories to Tell in the Dark;en;08/08/2019;Horror, Thriller;"
"353;652004;The Wolf of Snow Hollow;en;23/10/2020;Horror, Thriller;"
"354;848058;Piggy;es;07/10/2022;Drama, Horror, Thriller;"
"355;8913;Pet Sematary;en;21/04/1989;Drama, Horror;"
"356;864873;Hypnotic;en;27/10/2021;Drama, Horror, Thriller;"
"357;787752;Fresh;en;03/03/2022;Horror, Thriller;"
"358;282069;Parasyte: Part 1;ja;;;"
"359;628;Interview with the Vampire;en;11/11/1994;Drama, Fantasy, Horror;"
"360;22804;Saw VI;en;16/10/2009;Horror, Mystery;"
"361;659986;The Owners;en;27/08/2020;Horror, Thriller;"
"362;41446;Scream 4;en;11/04/2011;Horror, Mystery;"
"363;291167;Crystal Skulls;en;12/08/2014;Adventure, Fantasy, Horror, Mystery, Science Fiction, TV Movie;"
"364;763149;Aftermath;en;04/08/2021;Crime, Drama, Horror, Thriller;"
"365;10012;Cursed;en;25/02/2005;Comedy, Horror;"
"366;741636;Bloodthirsty;en;23/04/2021;Horror;"
"367;539;Psycho;en;22/06/1960;Drama, Horror, Thriller;"
"368;924;Dawn of the Dead;en;19/03/2004;Action, Horror;"
"369;814;An American Werewolf in London;en;21/08/1981;Comedy, Horror;"
"370;364116;The Other Side of the Door;en;25/02/2016;Horror, Thriller;"
"371;458723;Us;en;14/03/2019;Horror, Mystery, Thriller;"
"372;42968;The Nun;es;03/11/2005;Horror, Mystery;"
"373;8689;Cannibal Holocaust;it;07/02/1980;Horror;"
"374;531309;Brightburn;en;09/05/2019;Horror, Science Fiction, Thriller;"
"375;587496;The Rental;en;23/07/2020;Horror;"
"376;766;Army of Darkness;en;31/10/1992;Comedy, Fantasy, Horror;"
"377;9539;Martyrs;fr;03/09/2008;Drama, Horror, Thriller;"
"378;11675;Halloween H20: 20 Years Later;en;05/08/1998;Horror, Thriller;"
"379;13474;P2;en;09/11/2007;Horror, Thriller;"
"380;767504;Black as Night;en;01/10/2021;Horror, Thriller;"
"381;29826;The Legend of the Nahuala;es;31/10/2007;Animation, Family, Fantasy, Horror;"
"382;504631;Mermaid Down;en;15/10/2019;Fantasy, Horror, Mystery, Thriller;"
"383;524216;The Mortuary Collection;en;08/10/2020;Fantasy, Horror;"
